;Education enrollment;Government expenditure on education;Income by educational level;Selfperceived health ;Total fertility rate;GNI per Capita ;GDP per capita ;Unemployment
Belgium;26.90;6.40;24946.00;74.60;1.70;41187.00;36500.00;8.50
Bulgaria;17.80;4.00;4475.00;65.60;1.53;15596.00;6300.00;9.20
Czech Republic;20.30;4.90;8834.00;61.30;1.57;26660.00;16000.00;5.10
Denmark;26.90;7.00;32756.00;71.50;1.71;44025.00;47800.00;6.20
Germany ;19.70;4.20;24575.00;64.60;1.50;43919.00;37300.00;4.60
Estonia;21.40;6.10;10305.00;51.50;1.58;25214.00;15500.00;6.20
Ireland;27.40;3.70;25752.00;82.60;1.92;39568.00;56400.00;9.40
Spain;20.90;4.10;15706.00;72.60;1.33;32045.00;23300.00;24.90
France;23.00;5.50;25163.00;68.00;1.96;38056.00;33000.00;22.10
Croatia;18.80;4.70;6424.00;58.20;1.40;19409.00;10600.00;10.40
Italy;18.00;4.00;18299.00;65.80;1.35;33030.00;27200.00;16.10
Cyprus;20.30;5.70;17540.00;80.30;1.32;28633.00;20900.00;11.90
Latvia;20.20;5.40;7501.00;46.30;1.70;22281.00;12300.00;15.00
Lithuania;21.70;6.00;7073.00;42.80;1.70;24500.00;12900.00;9.90
Luxembourg;19.10;5.20;40184.00;70.60;1.47;58711.00;91500.00;9.10
Hungary;19.40;5.20;5296.00;56.40;1.45;22916.00;11300.00;6.50
Malta;18.50;5.50;16249.00;71.00;1.45;27930.00;21500.00;6.80
Netherlands;24.70;5.40;24598.00;76.20;1.66;45435.00;40400.00;5.40
Austria;19.90;5.00;27140.00;69.90;1.49;42261.00;39900.00;6.90
Poland;21.10;5.20;6540.00;57.90;1.32;23177.00;11200.00;5.70
Portugal;19.80;6.00;10264.00;46.50;1.31;25757.00;17400.00;7.50
Romania;18.70;3.10;2776.00;70.00;1.58;18108.00;8100.00;12.60
Slovenia;19.60;5.60;13442.00;64.80;1.57;27852.00;18800.00;6.80
Slovakia;19.00;4.20;7651.00;66.00;1.40;25845.00;14600.00;9.00
Finland;25.90;6.20;27499.00;69.90;1.65;38695.00;38200.00;11.50
Sweden;26.00;6.50;28723.00;79.60;1.85;45636.00;45800.00;9.40
United Kingdom;23.00;5.10;26829.00;69.60;1.80;39267.00;40000.00;7.40
Iceland;30.70;7.50;26916.00;76.40;1.80;35182.00;46100.00;5.30
Norway;25.70;5.50;45879.00;78.40;1.72;64992.00;67100.00;4.00
Switzerland;19.20;5.80;48136.00;79.60;1.54;56431.00;73900.00;4.40
